source,currency_pair,rate,rate_type,iso_datetime,date,timestamp
ardshinbank,USD/RUB,84.61538461538461,value,2025-11-01T05:04:08.660000+03:00,2025-11-01,1761962648
ardshinbank,CNY/RUB,12.043956043956044,value,2025-11-01T05:04:08.660000+03:00,2025-11-01,1761962648
tinkoff,USD/RUB,86.35,value,2025-11-01T05:04:09.342000+03:00,2025-11-01,1761962649
tinkoff,CNY/RUB,12.058,value,2025-11-01T05:04:09.342000+03:00,2025-11-01,1761962649
cbr,USD/RUB,80.9756,value,2025-11-01T11:30:00+03:00,2025-11-01,1761985800
cbr,CNY/RUB,11.3408,value,2025-11-01T11:30:00+03:00,2025-11-01,1761985800
forex,USD/RUB,80.89,value,2025-11-01T03:00:01+03:00,2025-11-01,1761955201
forex,CNY/RUB,11.26,value,2025-11-01T03:00:01+03:00,2025-11-01,1761955201
rbc_cash,USD/RUB,82.8,min,2025-11-01T05:04:12+03:00,2025-11-01,1761962652
rbc_cash,USD/RUB,82.8,p05,2025-11-01T05:04:12+03:00,2025-11-01,1761962652
rbc_cash,USD/RUB,83.5,median,2025-11-01T05:04:12+03:00,2025-11-01,1761962652
rbc_cash,CNY/RUB,11.9,min,2025-11-01T05:04:12+03:00,2025-11-01,1761962652
rbc_cash,CNY/RUB,11.9,p05,2025-11-01T05:04:12+03:00,2025-11-01,1761962652
rbc_cash,CNY/RUB,12.2,median,2025-11-01T05:04:12+03:00,2025-11-01,1761962652
bestchange,USDT_TRC20/RUB,82.85959999,min,2025-11-01T05:04:12+03:00,2025-11-01,1761962652
bestchange,USDT_TRC20/RUB,83.1129,p05,2025-11-01T05:04:12+03:00,2025-11-01,1761962652
bestchange,USDT_TRC20/RUB,88.85595649000001,median,2025-11-01T05:04:12+03:00,2025-11-01,1761962652
ardshinbank,USD/RUB,84.61538461538461,value,2025-11-01T06:44:59.830000+03:00,2025-11-01,1761968699
ardshinbank,CNY/RUB,12.043956043956044,value,2025-11-01T06:44:59.830000+03:00,2025-11-01,1761968699
tinkoff,USD/RUB,86.35,value,2025-11-01T06:45:00.418000+03:00,2025-11-01,1761968700
tinkoff,CNY/RUB,12.058,value,2025-11-01T06:45:00.418000+03:00,2025-11-01,1761968700
cbr,USD/RUB,80.9756,value,2025-11-01T11:30:00+03:00,2025-11-01,1761985800
cbr,CNY/RUB,11.3408,value,2025-11-01T11:30:00+03:00,2025-11-01,1761985800
forex,USD/RUB,80.89,value,2025-11-01T03:00:01+03:00,2025-11-01,1761955201
forex,CNY/RUB,11.26,value,2025-11-01T03:00:01+03:00,2025-11-01,1761955201
rbc_cash,USD/RUB,82.8,min,2025-11-01T06:45:03+03:00,2025-11-01,1761968703
rbc_cash,USD/RUB,82.8,p05,2025-11-01T06:45:03+03:00,2025-11-01,1761968703
rbc_cash,USD/RUB,83.5,median,2025-11-01T06:45:03+03:00,2025-11-01,1761968703
rbc_cash,CNY/RUB,11.9,min,2025-11-01T06:45:03+03:00,2025-11-01,1761968703
rbc_cash,CNY/RUB,11.9,p05,2025-11-01T06:45:03+03:00,2025-11-01,1761968703
rbc_cash,CNY/RUB,12.2,median,2025-11-01T06:45:03+03:00,2025-11-01,1761968703
bestchange,USDT_TRC20/RUB,82.0,min,2025-11-01T06:45:03+03:00,2025-11-01,1761968703
bestchange,USDT_TRC20/RUB,82.76866692,p05,2025-11-01T06:45:03+03:00,2025-11-01,1761968703
bestchange,USDT_TRC20/RUB,88.790838785,median,2025-11-01T06:45:03+03:00,2025-11-01,1761968703
ardshinbank,USD/RUB,84.61538461538461,value,2025-11-01T07:27:22.295000+03:00,2025-11-01,1761971242
ardshinbank,CNY/RUB,12.043956043956044,value,2025-11-01T07:27:22.295000+03:00,2025-11-01,1761971242
tinkoff,USD/RUB,86.35,value,2025-11-01T07:27:23.224000+03:00,2025-11-01,1761971243
tinkoff,CNY/RUB,12.058,value,2025-11-01T07:27:23.224000+03:00,2025-11-01,1761971243
cbr,USD/RUB,80.9756,value,2025-11-01T11:30:00+03:00,2025-11-01,1761985800
cbr,CNY/RUB,11.3408,value,2025-11-01T11:30:00+03:00,2025-11-01,1761985800
forex,USD/RUB,80.89,value,2025-11-01T03:00:01+03:00,2025-11-01,1761955201
forex,CNY/RUB,11.26,value,2025-11-01T03:00:01+03:00,2025-11-01,1761955201
rbc_cash,USD/RUB,82.8,min,2025-11-01T07:27:26+03:00,2025-11-01,1761971246
rbc_cash,USD/RUB,82.8,p05,2025-11-01T07:27:26+03:00,2025-11-01,1761971246
rbc_cash,USD/RUB,83.5,median,2025-11-01T07:27:26+03:00,2025-11-01,1761971246
rbc_cash,CNY/RUB,11.9,min,2025-11-01T07:27:26+03:00,2025-11-01,1761971246
rbc_cash,CNY/RUB,11.9,p05,2025-11-01T07:27:26+03:00,2025-11-01,1761971246
rbc_cash,CNY/RUB,12.2,median,2025-11-01T07:27:26+03:00,2025-11-01,1761971246
bestchange,USDT_TRC20/RUB,82.0,min,2025-11-01T07:27:26+03:00,2025-11-01,1761971246
bestchange,USDT_TRC20/RUB,82.73078346,p05,2025-11-01T07:27:26+03:00,2025-11-01,1761971246
bestchange,USDT_TRC20/RUB,88.701436,median,2025-11-01T07:27:26+03:00,2025-11-01,1761971246
ardshinbank,USD/RUB,84.61538461538461,value,2025-11-01T08:23:55.199000+03:00,2025-11-01,1761974635
ardshinbank,CNY/RUB,12.043956043956044,value,2025-11-01T08:23:55.199000+03:00,2025-11-01,1761974635
tinkoff,USD/RUB,86.35,value,2025-11-01T08:23:56.141000+03:00,2025-11-01,1761974636
tinkoff,CNY/RUB,12.058,value,2025-11-01T08:23:56.141000+03:00,2025-11-01,1761974636
cbr,USD/RUB,80.9756,value,2025-11-01T11:30:00+03:00,2025-11-01,1761985800
cbr,CNY/RUB,11.3408,value,2025-11-01T11:30:00+03:00,2025-11-01,1761985800
forex,USD/RUB,80.89,value,2025-11-01T03:00:01+03:00,2025-11-01,1761955201
forex,CNY/RUB,11.26,value,2025-11-01T03:00:01+03:00,2025-11-01,1761955201
rbc_cash,USD/RUB,82.8,min,2025-11-01T08:23:59+03:00,2025-11-01,1761974639
rbc_cash,USD/RUB,82.8,p05,2025-11-01T08:23:59+03:00,2025-11-01,1761974639
